customer_id,activity_month,churned,upgraded,revenue
1,2025-01-01,False,False,1145.0
2,2025-01-01,False,False,959.0
3,2025-01-01,False,False,385.2
4,2025-01-01,False,False,981.0
5,2025-01-01,False,False,636.3
6,2025-01-01,False,False,483.3
7,2025-01-01,False,False,643.5
8,2025-01-01,False,False,958.0
9,2025-01-01,False,False,1051.0
10,2025-01-01,False,False,958.5
11,2025-01-01,False,False,552.6
12,2025-01-01,False,False,638.0
13,2025-01-01,False,False,802.8
14,2025-01-01,False,False,1096.0
15,2025-01-01,False,False,601.2
16,2025-01-01,False,False,662.0
17,2025-01-01,False,False,469.8
18,2025-01-01,False,True,509.4
19,2025-01-01,False,False,370.8
20,2025-01-01,False,False,581.4
21,2025-01-01,False,False,759.6
22,2025-01-01,False,False,500.4
23,2025-01-01,False,False,1066.0
24,2025-01-01,False,False,476.0
25,2025-01-01,False,False,884.0
26,2025-01-01,False,False,749.7
27,2025-01-01,False,False,1028.7
28,2025-01-01,False,False,1165.0
29,2025-01-01,False,False,499.5
30,2025-01-01,False,False,419.4
31,2025-01-01,False,False,952.0
32,2025-01-01,False,False,414.0
33,2025-01-01,False,False,612.0
34,2025-01-01,False,True,786.0
35,2025-01-01,False,False,684.0
36,2025-01-01,False,False,624.0
37,2025-01-01,False,False,405.0
38,2025-01-01,False,False,830.7
39,2025-01-01,False,False,565.2
40,2025-01-01,False,False,1034.0
41,2025-01-01,False,False,430.2
42,2025-01-01,False,False,566.0
43,2025-01-01,False,False,410.4
44,2025-01-01,False,False,816.3
45,2025-01-01,False,False,397.8
46,2025-01-01,False,False,532.0
47,2025-01-01,False,False,518.4
48,2025-01-01,False,False,813.6
49,2025-01-01,False,False,829.0
50,2025-01-01,True,False,827.0
51,2025-01-01,False,False,1005.0
52,2025-01-01,False,False,523.0
53,2025-01-01,False,False,576.0
54,2025-01-01,False,False,963.0
55,2025-01-01,False,False,964.0
56,2025-01-01,False,False,801.0
57,2025-01-01,False,False,1073.0
58,2025-01-01,False,False,678.0
59,2025-01-01,False,False,563.0
60,2025-01-01,False,True,471.6
61,2025-01-01,False,True,904.0
62,2025-01-01,False,False,999.9
63,2025-01-01,False,False,764.1
64,2025-01-01,False,False,444.6
65,2025-01-01,False,False,456.0
66,2025-01-01,False,False,419.4
67,2025-01-01,False,False,1033.0
68,2025-01-01,False,False,868.0
69,2025-01-01,False,False,884.7
70,2025-01-01,False,False,977.0
71,2025-01-01,True,False,765.0
72,2025-01-01,False,False,662.0
73,2025-01-01,False,False,502.0
74,2025-01-01,False,False,727.0
75,2025-01-01,False,True,737.1
76,2025-01-01,False,False,426.6
77,2025-01-01,False,False,837.0
78,2025-01-01,False,False,493.2
79,2025-01-01,False,False,748.0
80,2025-01-01,False,False,918.0
81,2025-01-01,False,False,783.9
82,2025-01-01,False,False,722.0
83,2025-01-01,False,False,419.0
84,2025-01-01,False,True,887.4
85,2025-01-01,False,False,795.0
86,2025-01-01,False,False,947.0
